,precision,recall,f1-score,support
0,0.7105263157894737,0.6923076923076923,0.7012987012987013,39.0
1,0.6,0.6206896551724138,0.6101694915254238,29.0
accuracy,0.6617647058823529,0.6617647058823529,0.6617647058823529,0.6617647058823529
macro avg,0.6552631578947368,0.6564986737400531,0.6557340964120626,68.0
weighted avg,0.6633900928792569,0.6617647058823529,0.6624347736012741,68.0
