,precision,recall,f1-score,support
0,0.6730769230769231,0.8974358974358975,0.7692307692307693,39.0
1,0.75,0.41379310344827586,0.5333333333333333,29.0
accuracy,0.6911764705882353,0.6911764705882353,0.6911764705882353,0.6911764705882353
macro avg,0.7115384615384616,0.6556145004420867,0.6512820512820513,68.0
weighted avg,0.7058823529411765,0.6911764705882353,0.6686274509803922,68.0
