,precision,recall,f1-score,support
0,0.7222222222222222,0.6666666666666666,0.6933333333333334,39.0
1,0.59375,0.6551724137931034,0.6229508196721312,29.0
accuracy,0.6617647058823529,0.6617647058823529,0.6617647058823529,0.6617647058823529
macro avg,0.6579861111111112,0.6609195402298851,0.6581420765027323,68.0
weighted avg,0.6674325980392157,0.6617647058823529,0.6633172613307617,68.0
