,precision,recall,f1-score,support
0,0.725,0.7435897435897436,0.7341772151898734,39.0
1,0.6428571428571429,0.6206896551724138,0.631578947368421,29.0
accuracy,0.6911764705882353,0.6911764705882353,0.6911764705882353,0.6911764705882353
macro avg,0.6839285714285714,0.6821396993810787,0.6828780812791473,68.0
weighted avg,0.689968487394958,0.6911764705882353,0.6904220715601364,68.0
