,precision,recall,f1-score,support
0,0.6862745098039216,0.8974358974358975,0.7777777777777778,39.0
1,0.7647058823529411,0.4482758620689655,0.5652173913043478,29.0
accuracy,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7058823529411765
macro avg,0.7254901960784313,0.6728558797524316,0.6714975845410628,68.0
weighted avg,0.7197231833910034,0.7058823529411765,0.6871270247229326,68.0
