,precision,recall,f1-score,support
0,0.8,0.6153846153846154,0.6956521739130435,39.0
1,0.6052631578947368,0.7931034482758621,0.6865671641791045,29.0
accuracy,0.6911764705882353,0.6911764705882353,0.6911764705882353,0.6911764705882353
macro avg,0.7026315789473685,0.7042440318302388,0.691109669046074,68.0
weighted avg,0.7169504643962848,0.6911764705882353,0.6917776844676871,68.0
