#mpa_vOct22_CHOCOPhlAnSGB_202212
#clade_name	relative_abundance
d__Bacteria	98.93075999999998
d__Archaea	0.94046
d__Bacteria;p__Firmicutes_A	78.76326999999998
d__Bacteria;p__Firmicutes	11.251109999999999
d__Bacteria;p__Firmicutes_C	2.4971000000000005
d__Bacteria;p__Proteobacteria	2.33564
d__Archaea;p__Methanobacteriota	0.94046
d__Bacteria;p__Actinobacteriota	2.30525
d__Bacteria;p__Bacteroidota	1.68119
d__Bacteria;p__Desulfobacterota_I	0.03348
d__Bacteria;p__Firmicutes_B	0.02716
d__Bacteria;p__Cyanobacteria	0.030690000000000002
d__Bacteria;p__Patescibacteria	0.00587
d__Bacteria;p__Firmicutes_A;c__Clostridia	78.76326999999998
d__Bacteria;p__Firmicutes;c__Bacilli	11.251109999999999
d__Bacteria;p__Firmicutes_C;c__Negativicutes	2.4971000000000005
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	2.31611
d__Archaea;p__Methanobacteriota;c__Methanobacteria	0.94046
d__Bacteria;p__Actinobacteriota;c__Actinomycetia	0.92525
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia	1.3800000000000001
d__Bacteria;p__Bacteroidota;c__Bacteroidia	1.68119
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia	0.03348
d__Bacteria;p__Firmicutes_B;c__Peptococcia	0.02716
d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia	0.030690000000000002
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0.01953
d__Bacteria;p__Patescibacteria;c__Saccharimonadia	0.00587
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77	12.750680000000001
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales	39.842179999999985
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales	21.110230000000005
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39	8.035979999999999
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales	3.13187
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales	2.4770700000000003
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales	1.6095300000000001
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__UBA1381	1.30904
d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales	0.94046
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales	0.91849
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	2.76023
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales	1.3800000000000001
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales	0.70658
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales	0.43818999999999997
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	1.68119
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales	0.35785
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales	0.2542
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales	0.03348
d__Bacteria;p__Firmicutes_B;c__Peptococcia;o__Peptococcales	0.02716
d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales	0.030690000000000002
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales	0.02003
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32	0.01953
d__Bacteria;p__Firmicutes;c__Bacilli;o__Haloplasmatales_A	0.01484
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales	0.00676
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Eubacteriales	0.00625
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales	0.00587
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales	0.00187
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__UMGS1883	0.00097
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508	12.69899
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	39.254139999999985
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae	8.32804
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660	8.035979999999999
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74	3.06554
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae	2.46491
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae	1.6061
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__UBA1381;f__UBA1381	1.30904
d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	0.94046
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae	0.87261
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	1.5244099999999998
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae	1.07946
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae	3.834000000000001
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae	8.296990000000001
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae	0.70658
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	1.23582
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__CAG-274	0.44929
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae	0.31751999999999997
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	0.9899
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae	0.46423
