#mpa_vOct22_CHOCOPhlAnSGB_202212
#clade_name	relative_abundance
d__Bacteria	99.85315
d__Bacteria;p__Firmicutes_A	74.25915000000002
d__Bacteria;p__Firmicutes	22.48575
d__Bacteria;p__Actinobacteriota	2.20311
d__Bacteria;p__Proteobacteria	0.66681
d__Bacteria;p__Desulfobacterota_I	0.14904
d__Bacteria;p__Bacteroidota	0.04983
d__Bacteria;p__Firmicutes_C	0.01701
d__Bacteria;p__Fusobacteriota	0.00786
d__Bacteria;p__Patescibacteria	0.01459
d__Bacteria;p__Firmicutes_A;c__Clostridia	74.25915000000002
d__Bacteria;p__Firmicutes;c__Bacilli	22.48575
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia	1.63313
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.66681
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia	0.14904
d__Bacteria;p__Actinobacteriota;c__Actinomycetia	0.56998
d__Bacteria;p__Bacteroidota;c__Bacteroidia	0.04983
d__Bacteria;p__Firmicutes_C;c__Negativicutes	0.01701
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia	0.00786
d__Bacteria;p__Patescibacteria;c__Saccharimonadia	0.01459
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales	73.06865
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	19.82997
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales	2.5430099999999998
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales	1.63313
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales	0.66681
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales	0.62717
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__UBA1381	0.17359
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales	0.14904
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales	0.36793
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales	0.49951999999999996
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales	0.10441
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales	0.03919
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	0.04983
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales	0.01701
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales	0.03127
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales	0.02181
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales	0.00786
d__Bacteria;p__Firmicutes;c__Bacilli;o__Thermoactinomycetales	0.00836
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales	0.01459
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	73.06530000000001
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	18.92296
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae	1.96991
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae	1.58545
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	0.89883
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae	0.66681
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae	0.5730999999999999
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae	0.35015
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae	0.24077
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__UBA1381;f__UBA1381	0.17359
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae	0.14904
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae	0.2768
