#mpa_vOct22_CHOCOPhlAnSGB_202212
#clade_name	relative_abundance
d__Bacteria	99.99997999999998
d__Bacteria;p__Firmicutes_A	83.03964999999998
d__Bacteria;p__Firmicutes	8.53712
d__Bacteria;p__Proteobacteria	3.21164
d__Bacteria;p__Actinobacteriota	3.04314
d__Bacteria;p__Firmicutes_C	1.09275
d__Bacteria;p__Fusobacteriota	0.53982
d__Bacteria;p__Desulfobacterota_I	0.3639
d__Bacteria;p__Bacteroidota	0.17196
d__Bacteria;p__Firmicutes_A;c__Clostridia	83.03964999999998
d__Bacteria;p__Firmicutes;c__Bacilli	8.53712
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	3.21164
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia	1.40148
d__Bacteria;p__Actinobacteriota;c__Actinomycetia	1.6416600000000001
d__Bacteria;p__Firmicutes_C;c__Negativicutes	1.09275
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia	0.53982
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia	0.3639
d__Bacteria;p__Bacteroidota;c__Bacteroidia	0.17196
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales	82.21990999999998
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	6.16557
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales	3.21164
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales	1.40148
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales	2.32988
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales	1.6362700000000001
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales	0.54011
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales	0.53982
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales	0.55264
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales	0.3639
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales	0.30136
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales	0.3347
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	0.17196
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales	0.07016
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__UBA1381	0.05009
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales	0.02887
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales	0.03934
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales	0.03456
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales	0.00496
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	0.00233
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales	0.00043
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	82.21341999999999
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	5.5130099999999995
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae	3.21164
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae	1.38723
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae	1.27417
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae	1.05571
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae	1.1661700000000002
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae	0.54011
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae	0.53982
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae	0.52761
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	0.6042600000000002
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae	0.3639
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae	0.4701
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae	0.22877
