#mpa_vOct22_CHOCOPhlAnSGB_202212
#clade_name	relative_abundance
d__Bacteria	99.98767000000002
d__Bacteria;p__Firmicutes_A	92.14229
d__Bacteria;p__Firmicutes_C	2.73279
d__Bacteria;p__Verrucomicrobiota	1.0083
d__Bacteria;p__Bacteroidota	1.96317
d__Bacteria;p__Actinobacteriota	0.7867299999999999
d__Bacteria;p__Proteobacteria	0.75376
d__Bacteria;p__Firmicutes	0.391
d__Bacteria;p__Desulfobacterota_I	0.14569
d__Bacteria;p__Cyanobacteria	0.06394
d__Bacteria;p__Firmicutes_A;c__Clostridia	92.14229
d__Bacteria;p__Firmicutes_C;c__Negativicutes	2.73279
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae	1.0083
d__Bacteria;p__Bacteroidota;c__Bacteroidia	1.96317
d__Bacteria;p__Actinobacteriota;c__Actinomycetia	0.50298
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.46573000000000003
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0.28803
d__Bacteria;p__Firmicutes;c__Bacilli	0.391
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia	0.14569
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia	0.28375
d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia	0.06394
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales	46.72207
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales	36.461740000000006
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales	3.6946
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__UBA1381	2.2918
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales	1.76617
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77	2.79689
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales	1.0083
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales	0.96591
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	1.96317
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales	0.50298
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales	0.46573000000000003
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32	0.28803
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales	0.27505999999999997
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales	0.14569
d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20	0.08706
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales	0.17512999999999998
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales	0.28375
d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales	0.06394
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39	0.02493
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	0.00395
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales	0.00071
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales	6e-05
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	43.49383
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae	22.357460000000007
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae	8.35643
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__CAG-274	3.07463
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74	3.6685
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__UBA1381;f__UBA1381	2.2918
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae	1.76617
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508	2.79689
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae	4.976320000000001
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae	1.0083
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae	0.96591
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	1.45212
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae	0.74917
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae	0.50141
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae	0.26856
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae	0.46573000000000003
