Method,Optimal_Features,Optimal_AUC,AUC_Std,Reduction_Ratio
RF_Selection_NN_Eval,12,0.8131326944054853,0.05110204673562915,62.5
Lasso_Selection_NN_Eval,7,0.8115723858500857,0.0252934532709575,78.125
Lasso_Selection_Attention_Eval,7,0.8113382421692379,0.028139716453903466,78.125
FClassif_Selection_Attention_Eval,12,0.8053794608072307,0.04835010335369163,62.5
Lasso_Selection_LR_Eval,7,0.7970243104254324,0.03171508393177492,78.125
FClassif_Selection_NN_Eval,27,0.7894288608383979,0.056139127657694105,15.625
RF_Selection_Attention_Eval,27,0.786365123889668,0.04514075555370098,15.625
MutualInfo_Selection_NN_Eval,32,0.7820948262427926,0.06024695309522597,0.0
RF_Selection_LR_Eval,12,0.7807550257129499,0.04536162648933719,62.5
FClassif_Selection_LR_Eval,12,0.7751749259778713,0.04320872486879364,62.5
MutualInfo_Selection_LR_Eval,17,0.7751094748324763,0.06417548028337058,46.875
MutualInfo_Selection_Attention_Eval,17,0.7746220975533739,0.07678810364623241,46.875
FClassif_Selection_RF_Eval,12,0.7432711937042231,0.05096549273263315,62.5
Lasso_Selection_RF_Eval,12,0.7416904316658876,0.04419557805774637,62.5
RF_Selection_RF_Eval,7,0.738975183107371,0.03668229670398791,78.125
MutualInfo_Selection_RF_Eval,32,0.7038238273336451,0.02168357335761249,0.0
