,mean,std,cv
k__Bacteria|p__Proteobacteria,0.044703197423909255,0.004659533439877413,0.10423266585815374
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_invisus,0.04393243944449293,0.002763094072697499,0.06289416448609847
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Erysipelatoclostridium_ramosum,0.04211233379121043,0.004460537934695604,0.10591998906568781
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_sp_CAG_257,0.039605455471910946,0.006168295097494462,0.15574357178821366
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_pneumosintes,0.039110831260824194,0.006332367806503362,0.16190828991267822
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_vestibularis,0.037832933233705526,0.004673964839674701,0.12354222737111606
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_scindens|t__SGB4631,0.0368046868366543,0.005178908730397614,0.14071329429815627
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales,0.036128459309458336,0.003415356252178453,0.09453368113276621
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_portucalensis,0.03521514692182714,0.004107879975707513,0.1166509395751337
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae,0.034476166262769496,0.004292930314269653,0.12451878441326437
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia,0.03354542089556861,0.0036799273972134058,0.10969984274961142
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,0.03314841203301347,0.003855588938310192,0.11631293029875153
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_vestibularis|t__SGB8003,0.0329959815671484,0.0029570907267281693,0.08961972295657726
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli,0.03276256237659018,0.0041564869791567,0.1268669688096995
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalicoccus|s__Faecalicoccus_pleomorphus,0.031438277422736326,0.0032408271097513716,0.10308539065844582
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalicoccus,0.029204435742071145,0.005450964392603208,0.1866485091766622
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum,0.02821608541258927,0.00330295326894278,0.11705923130885795
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_farciminis,0.02751185828587736,0.003309960188289513,0.12031030960887917
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale,0.02681650519394484,0.0033031817621889553,0.12317719025277063
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum,0.025039691079354186,0.004632676800709386,0.18501333686696864
