#mpa_vOct22_CHOCOPhlAnSGB_202212
#clade_name	relative_abundance
d__Bacteria	99.93847000000001
d__Bacteria;p__Firmicutes_A	73.19207000000002
d__Bacteria;p__Firmicutes	12.9735
d__Bacteria;p__Actinobacteriota	10.846459999999999
d__Bacteria;p__Proteobacteria	2.86981
d__Bacteria;p__Firmicutes_C	0.05196
d__Bacteria;p__Patescibacteria	0.00467
d__Bacteria;p__Firmicutes_A;c__Clostridia	73.19207000000002
d__Bacteria;p__Firmicutes;c__Bacilli	12.9735
d__Bacteria;p__Actinobacteriota;c__Actinomycetia	10.846459999999999
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	2.86981
d__Bacteria;p__Firmicutes_C;c__Negativicutes	0.05196
d__Bacteria;p__Patescibacteria;c__Saccharimonadia	0.00467
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales	68.86617000000001
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales	12.664100000000001
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales	10.83504
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales	2.85751
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales	1.62247
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales	1.53536
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales	1.15994
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	0.29746
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales	0.05196
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales	0.0123
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales	0.01194
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales	0.00813
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales	0.00779
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales	0.00467
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales	0.00363
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	68.86617000000001
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae	11.88733
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae	10.68548
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae	2.85751
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae	1.62247
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae	1.50668
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae	0.92951
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae	0.77677
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	0.2341
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae	0.11939
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae	0.11104
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae	0.05196
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae	0.14956000000000003
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	0.05564
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae	0.028679999999999997
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae	0.0123
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae	0.01194
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae	0.00813
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae	0.00772
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae	0.00779
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae	0.00447
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae	0.00363
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Nanogingivalaceae	0.0002
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_B	58.4467
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium_AQ	11.88733
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium	10.68548
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A	5.93364
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia	2.11605
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	2.09363
