#mpa_vOct22_CHOCOPhlAnSGB_202212
#clade_name	relative_abundance
d__Bacteria	99.93481
d__Bacteria;p__Firmicutes_A	74.1688
d__Bacteria;p__Actinobacteriota	11.48243
d__Bacteria;p__Firmicutes_C	2.38596
d__Bacteria;p__Bacteroidota	7.71692
d__Bacteria;p__Desulfobacterota_I	0.83555
d__Bacteria;p__Firmicutes	2.7033199999999997
d__Bacteria;p__Firmicutes_B	0.29034
d__Bacteria;p__Spirochaetota	0.28085
d__Bacteria;p__Fusobacteriota	0.04644
d__Bacteria;p__Proteobacteria	0.0129
d__Bacteria;p__Campylobacterota	0.00572
d__Bacteria;p__Patescibacteria	0.00558
d__Bacteria;p__Firmicutes_A;c__Clostridia	74.1688
d__Bacteria;p__Actinobacteriota;c__Actinomycetia	8.40193
d__Bacteria;p__Firmicutes_C;c__Negativicutes	2.38596
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia	3.0805
d__Bacteria;p__Bacteroidota;c__Bacteroidia	7.71692
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia	0.83555
d__Bacteria;p__Firmicutes;c__Bacilli	2.7033199999999997
d__Bacteria;p__Firmicutes_B;c__Dehalobacteriia	0.29034
d__Bacteria;p__Spirochaetota;c__Brachyspirae	0.28085
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia	0.04644
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.0129
d__Bacteria;p__Campylobacterota;c__Campylobacteria	0.00572
d__Bacteria;p__Patescibacteria;c__Saccharimonadia	0.00558
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales	37.677060000000004
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales	7.6825399999999995
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales	25.95732000000001
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales	8.40193
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales	2.33954
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales	3.0805
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	7.71692
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__UBA1381	1.18963
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales	0.83555
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales	1.98701
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales	1.40095
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	0.7163099999999999
d__Bacteria;p__Firmicutes_B;c__Dehalobacteriia;o__UBA4068	0.29034
d__Bacteria;p__Spirochaetota;c__Brachyspirae;o__Brachyspirales	0.28085
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales	0.24137999999999998
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales	0.04644
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales	0.04642
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Eubacteriales	0.01992
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales	0.0129
d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales	0.00572
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales	0.00558
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae	21.87313
