,precision,recall,f1-score,support
0,0.75,0.6153846153846154,0.676056338028169,39.0
1,0.5833333333333334,0.7241379310344828,0.6461538461538462,29.0
accuracy,0.6617647058823529,0.6617647058823529,0.6617647058823529,0.6617647058823529
macro avg,0.6666666666666667,0.669761273209549,0.6611050920910075,68.0
weighted avg,0.678921568627451,0.6617647058823529,0.6633038047288254,68.0
