,precision,recall,f1-score,support
0,0.7435897435897436,0.7435897435897436,0.7435897435897436,39.0
1,0.6551724137931034,0.6551724137931034,0.6551724137931034,29.0
accuracy,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7058823529411765
macro avg,0.6993810786914235,0.6993810786914235,0.6993810786914235,68.0
weighted avg,0.7058823529411765,0.7058823529411765,0.7058823529411765,68.0
