,precision,recall,f1-score,support
0,0.8181818181818182,0.6923076923076923,0.75,39.0
1,0.6571428571428571,0.7931034482758621,0.71875,29.0
accuracy,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7352941176470589
macro avg,0.7376623376623377,0.7427055702917772,0.734375,68.0
weighted avg,0.749503437738732,0.7352941176470589,0.7366727941176471,68.0
