,precision,recall,f1-score,support
0,0.8108108108108109,0.7692307692307693,0.7894736842105263,39.0
1,0.7096774193548387,0.7586206896551724,0.7333333333333333,29.0
accuracy,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411
macro avg,0.7602441150828247,0.7639257294429709,0.7614035087719297,68.0
weighted avg,0.7676803938663522,0.7647058823529411,0.765531475748194,68.0
