Method,Optimal_Features,Optimal_AUC,AUC_Std,Reduction_Ratio
Lasso_Selection_NN_Eval,12,0.7960168302945302,0.036485426839317235,53.84615384615385
Lasso_Selection_Attention_Eval,10,0.7942410783855384,0.050335617582799086,61.53846153846154
FClassif_Selection_NN_Eval,26,0.7883072307932055,0.04982132891478766,0.0
RF_Selection_Attention_Eval,18,0.783946937821412,0.0292033346027868,30.76923076923077
RF_Selection_NN_Eval,18,0.7837046127473897,0.0123252949471721,30.76923076923077
Lasso_Selection_LR_Eval,8,0.7809431977559609,0.03332526120093601,69.23076923076923
MutualInfo_Selection_NN_Eval,26,0.7781381486676017,0.040991356883144814,0.0
FClassif_Selection_LR_Eval,18,0.7706299672744272,0.035772476600939004,30.76923076923077
MutualInfo_Selection_Attention_Eval,16,0.7705836060464393,0.008253626874040285,38.46153846153847
RF_Selection_LR_Eval,10,0.7672448184509895,0.030751620743824048,61.53846153846154
MutualInfo_Selection_LR_Eval,14,0.760883200872682,0.026718201922045114,46.15384615384615
FClassif_Selection_Attention_Eval,26,0.7532441171887173,0.03860794744005161,0.0
FClassif_Selection_RF_Eval,10,0.7238033738507091,0.050079446163221804,61.53846153846154
RF_Selection_RF_Eval,10,0.7169596384603396,0.05226181134356482,61.53846153846154
Lasso_Selection_RF_Eval,16,0.7143682795698925,0.06837809895598328,38.46153846153847
MutualInfo_Selection_RF_Eval,16,0.7111601994701574,0.05916495161167726,38.46153846153847
