#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	SCD66_metaphlan	SCD67_metaphlan	SCD68_metaphlan	SCD69_metaphlan	SCD70_metaphlan	SCD73_metaphlan	SCD72_metaphlan	SCD82_metaphlan	SCD75_metaphlan	SCD76_metaphlan	SCD77_metaphlan	SCD83_metaphlan	SCD137_metaphlan	SCD79_metaphlan	SCD80_metaphlan	SCD84_metaphlan	SCD81_metaphlan	SCD106_metaphlan	SCD88_metaphlan	SCD91_metaphlan	SCD86_metaphlan	SCD138_metaphlan	SCD107_metaphlan	SCD90_metaphlan	SCD87_metaphlan	SCD92_metaphlan	SCD154_metaphlan	SCD93_metaphlan	SCD94_metaphlan	SCD139_metaphlan	SCD109_metaphlan	SCD129_metaphlan	SCD110_metaphlan	SCD97_metaphlan	SCD98_metaphlan	SCD99_metaphlan	SCD112_metaphlan	SCD100_metaphlan	SCD122_metaphlan	SCD101_metaphlan	SCD130_metaphlan	SCD103_metaphlan	SCD104_metaphlan	SCD140_metaphlan	SCD102_metaphlan	SCD105_metaphlan	SCD113_metaphlan	SCD145_metaphlan	SCD156_metaphlan	SCD141_metaphlan	SCD114_metaphlan	SCD115_metaphlan	SCD116_metaphlan	SCD111_metaphlan	SCD147_metaphlan	SCD142_metaphlan	SCD143_metaphlan	SCD117_metaphlan	SCD132_metaphlan	SCD124_metaphlan	SCD125_metaphlan	SCD126_metaphlan	SCD118_metaphlan	SCD119_metaphlan	SCD150_metaphlan	SCD157_metaphlan	SCD127_metaphlan	SCD133_metaphlan	SCD128_metaphlan	SCD136_metaphlan	SCD144_metaphlan	SCD151_metaphlan	SCD152_metaphlan	SCD153_metaphlan
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_hominis|t__SGB5803_group	0.92306	0.42368	0.0	0.90923	2.04964	0.0	5.39275	0.0	0.0	0.11432	0.0	1.25183	1.39313	6.8717	0.0	2.47981	1.37623	0.0	0.0	0.64233	0.19112	3.11086	0.01187	3.56553	2.49743	0.0	0.00148	0.0	4.15204	0.0	0.0	0.0	1.28458	0.02648	7.70587	0.0	0.0	0.0	3.81409	0.01282	0.0	0.0	6.77339	0.0	0.00021	5.99009	0.0	0.0	0.14952	3.267	0.0	0.0	0.29706	0.0	9.73175	10.24517	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.14799	3.20459	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerobutyricum|s__Anaerobutyricum_soehngenii|t__SGB4537	0.89001	0.9382	0.0	0.0	1.51878	0.0	0.12112	0.03109	0.0	0.0	0.0	0.99987	1.88403	0.0	0.0	0.0	0.62789	0.00646	0.20065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59758	1.52553	0.79717	0.0	0.63475	0.0	0.0	0.02342	0.0	0.03225	0.0	0.18101	0.0	0.0	0.91781	0.4681	0.07616	2.33796	1.70882	0.00047	0.0	0.0	0.2084	4.35088	0.0	0.0	2.79554	0.04088	1.72926	0.0	0.0	2.03925	0.07298	0.0	0.69656	0.0	0.41412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena|t__SGB4581	0.81068	0.01257	0.0	2.09898	1.48914	0.0	1.92944	2.01236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.89365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.36139	0.0	0.0	0.0	0.0	0.0	0.0	2.48305	7.21222	0.0	0.0	0.0	2.07287	2.78648	0.75586	4.30631	0.0	0.0	0.0	0.0	1.57368	0.0	0.0	1.33976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes|t__SGB4577	0.72824	1.39572	0.14273	0.0	0.0	0.0	0.0	0.19856	0.0	0.0	0.0	0.06426	0.0	2.65213	0.0	0.0	0.0	0.01447	1.02761	0.0	0.0	0.0	2.99341	2.13824	0.0	0.0	0.0	0.0	0.0	0.0	0.33947	0.0	0.0	1.06482	0.0	0.0	0.0	4.7686	3.86689	0.0	0.0	2.8751	2.14443	0.26555	6.57563	0.0094	2.68746	0.0	2.93421	0.0	0.00086	0.0	0.0	0.36636	0.22215	0.98964	0.0	0.03566	0.0	0.0	0.0	0.0	1.07339	0.0	0.0	0.40513	0.0	0.0	0.0	0.0	0.0	0.0	0.29218	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera_hominis|t__SGB5851	0.69307	0.0	0.0	0.0	0.0	0.0	0.0	0.00955	0.0	0.0	0.0	0.0	0.0	0.20745	0.0	0.0	0.00627	0.43367	0.0	0.0	0.0	0.0	0.0	0.0	0.06234	0.0	0.0	0.0	1.78635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29484	0.0	0.14318	0.0	0.0	0.0	0.0	0.0	0.75765	0.0	0.0	0.0	0.13686	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03231	0.0	0.0	0.0	0.28954	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ramulus|t__SGB4959	0.62995	0.00631	0.0	0.0	0.0	0.0	0.0	0.05416	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75338	0.0	0.0	0.0	0.1508	0.0	2.5141	0.0	0.0	0.15077	0.0	0.0	2.20085	0.0	0.0	0.32255	0.0	0.0	0.0	0.0	0.0	0.0	0.03709	0.03653	0.0	0.0	0.0	0.54558	0.0	0.0	0.0	0.0	0.0	0.0	0.00191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium|s__Faecalibacterium_SGB15346|t__SGB15346	0.58768	3.14493	0.14402	0.0	0.0	0.0	0.56318	0.42643	0.0	0.0	0.0	0.13001	0.38946	0.0	0.0	0.0	0.01305	0.0	0.42055	0.0	0.0	0.0	0.0	0.6656	0.0	0.0	0.0	0.0	0.89376	0.0	0.0	0.0	0.0	1.80257	0.0	0.04856	0.0	0.0	0.0	0.67013	0.94066	2.54777	1.02339	0.10517	0.0	3.55275	1.21156	0.0	0.0145	0.0	0.14142	0.0	0.0	0.22392	0.06124	2.27011	0.77892	0.00063	0.86215	0.0	0.0	0.0	0.13657	0.0	0.58906	0.48273	0.49493	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_Marseille_Q4251|t__SGB4780	0.58151	0.01813	0.0	0.0	0.0	0.0	0.11807	0.06087	0.0	0.0	0.0	0.07994	0.1976	0.0	0.0	0.0	0.0	0.0	0.08948	0.0	0.0	0.0	0.0	0.14129	0.0	0.0	0.03495	0.0	0.01454	0.0	0.0	0.0	0.0	0.16788	0.0	0.06161	0.0	0.12342	0.00265	0.0	0.12896	0.2987	0.0657	0.13832	0.0	0.06314	0.07913	0.0	0.21575	0.03284	0.01607	0.0	0.03109	0.20563	0.12835	0.09365	0.00189	0.01894	0.0884	0.0	0.0	0.0	0.092	0.0	0.0	0.09177	0.0	0.0	0.0	0.0	0.0	0.0	0.16965	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_faecis|t__SGB4820	0.52449	0.00214	0.13354	0.18556	0.90349	0.3885	2.68317	0.3726	0.0	0.0	0.94109	0.28269	1.33846	0.03059	5.93364	0.27104	0.1675	0.77675	0.43203	0.0574	4.43654	1.24212	0.01212	0.98783	0.0	0.0	1.50461	0.16056	0.00957	0.0	0.07583	0.11696	0.0	0.48166	0.02866	2.42074	0.12167	0.46667	0.42108	0.38019	0.85008	1.68555	0.688	0.8453	0.23559	0.0312	1.05697	0.0	2.16759	0.47818	0.16643	1.56252	1.01862	1.12774	0.38224	1.04431	0.21442	0.79414	0.60669	0.0	0.17066	0.26451	1.07469	0.0	0.13453	0.44033	0.14563	0.64483	0.00467	0.0	0.04516	0.0	0.56229	0.28225
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans|t__SGB4575	0.50518	0.60395	2.04098	0.0	0.78577	0.35868	1.30921	0.42411	0.0	0.0	0.0	0.52703	1.39025	0.0	0.0	0.0	0.32414	0.00966	0.45351	0.0	1.8564	1.04259	0.0	0.40702	0.0	0.0	0.0	0.0	0.55884	0.0	0.0	0.0	0.0	0.44839	0.0	1.50861	0.66473	0.05631	0.0	0.0	0.79872	0.0	2.26508	1.30995	0.83644	0.56121	0.96276	0.0	0.77606	1.75876	0.0	0.0	1.36996	2.00889	0.38749	0.35386	0.14532	0.26727	1.36637	0.0	0.0	0.0	2.00723	0.0	1.37155	1.03267	0.89248	0.0	0.0	0.0	0.0	0.0	0.85504	0.20027
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Eubacteriales_unclassified|s__Clostridiales_bacterium_KLE1615|t__SGB5090	0.48559	0.09124	0.06463	0.0	0.39065	0.00028	0.43695	0.13845	0.0	0.0	0.0	0.04588	0.03626	0.0	0.0	0.0	0.12706	0.00014	0.21596	0.01446	0.07007	0.0	0.0	0.10859	0.0	0.0	0.00606	0.02537	0.51704	0.0	0.0	0.0	0.0	0.1278	0.0	0.03666	0.0	0.34621	0.01503	0.0	0.23387	0.12759	0.01867	0.11362	0.0	0.76945	0.22569	0.0	0.01213	0.01104	0.19084	0.0	0.09094	0.05999	0.00203	0.16003	0.04092	0.0	0.22772	0.0	0.00862	0.0	0.01071	0.0	0.11692	0.26849	0.22254	0.0	0.67384	0.0	0.07508	0.0	0.83508	0.00048
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_dorei|t__SGB1815	0.45787	0.03589	0.0	0.0	0.0	0.0	0.00144	0.04299	0.01964	0.0	0.01031	0.0	0.0	0.0	0.0	0.0	0.0	0.60828	0.00088	0.00132	0.0	0.0	0.0	0.0	0.0	3.73865	0.0	14.08829	0.0	0.0	0.0	0.0	0.0	0.37662	1.86684	0.0	3.37422	0.06176	0.0	0.0	0.39225	0.07809	0.54571	1.27993	0.0	0.0	1.06053	0.0	0.05979	0.0	2.39917	0.0	0.0	0.0	0.0	0.90855	1.92139	0.00453	0.0	1.66414	2.12122	0.0	0.00087	0.0	0.23753	0.69898	0.1457	0.0	4.95289	0.0	4.86218	0.0	0.50856	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_sp_AF13_28|t__SGB4834	0.427	0.95872	4.22335	0.51772	0.89464	0.00054	0.0	0.01779	0.0	0.19381	7.56326	1.32172	0.07931	2.5169	0.0	3.65737	0.16922	0.00129	0.4678	0.77796	0.29678	8.42823	0.0	0.22838	0.0	0.0	3.22644	0.0	2.59772	0.0	0.0	6.12253	0.0	0.59497	0.17072	0.0	0.27202	0.37086	0.03149	19.61142	0.29926	0.069	0.0	0.06949	0.80629	2.26912	1.27254	0.0	2.0827	1.03152	8.08956	0.0	0.16154	0.61224	0.12901	1.02616	0.15728	0.01327	0.78307	2.21593	0.87186	4.10893	0.11797	0.0	0.22398	0.15379	0.07071	0.04358	1.53546	0.0	0.0	0.0	0.01419	0.00104
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AF36_4|t__SGB4644	0.42317	0.0	0.0	0.0	0.0	0.0	0.0	0.34751	0.0	0.0	0.0	0.03053	0.03186	0.0	0.0	0.0	0.04018	0.0	0.0	0.0	0.0471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03443	0.0	0.0	0.0	0.0	0.0	0.0	0.15525	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_SGB14861|t__SGB14861	0.35915	0.0	0.0	0.0	0.0	0.0	0.0	0.13295	0.0	0.0	0.0	0.15492	0.0	0.0	0.0	0.0	0.0	0.00028	2.70483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75621	0.52098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04562	0.57374	0.0	0.14459	3.54619	0.0	0.0	0.0	0.21896	0.0	0.0	0.76452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Sanguibacteraceae|g__Sanguibacter|s__Sanguibacter_SGB15121|t__SGB15121	0.35308	0.0	0.0	0.0	0.09868	0.0	0.29574	0.8271	0.0	0.0	0.0	1.97902	0.0	0.0	0.0	0.0	0.94342	0.0	0.57933	0.0	0.93433	1.37808	0.0	0.0	0.0	0.0	3.07583	0.0	0.0	0.0	0.0	0.0	0.0	1.08413	0.0	0.0	0.0	0.01789	0.0	0.25516	0.0	0.0	0.0	1.28751	0.0	0.0	0.34324	0.0	0.0	0.0	0.0	0.0	0.03283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03806	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus|s__Limosilactobacillus_mucosae|t__SGB7088_group	0.34842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01816	0.0	0.0	0.0	0.0	1.05623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.11423	0.0	0.0	0.0	0.0	0.0	1.90933	0.0	0.11245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18944	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.99344	0.00513
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis|g__Mogibacterium|s__Mogibacterium_sp_BX12|t__SGB14854	0.32208	0.0	0.0	0.0	0.09397	0.0	0.07931	0.1888	0.0	0.0	0.10529	0.16596	0.13716	0.0	0.0	0.0	0.08738	0.0	0.04879	0.0	0.11321	0.94697	0.0	0.06608	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03175	0.06478	0.09342	0.0	0.00995	0.0	0.02798	0.01677	0.03504	0.30498	0.05652	0.0	0.0	0.0305	0.0	0.04278	0.0	0.0	0.08894	0.00125	0.0	0.07429	0.02093	0.0	0.0253	0.0	0.0	0.16733	0.0	0.23904	0.0	0.0	0.01313	0.0	0.0	0.0	0.0	0.0	0.0	0.00221	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_SGB14754|t__SGB14754	0.30358	0.0	0.0	0.0	0.35475	0.0	0.0	0.0	0.0	0.0	0.0	0.07059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04375	0.0	0.0	0.0	0.0	0.01502	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Romboutsia|s__Romboutsia_timonensis|t__SGB6148	0.26664	2.5972	0.0	0.37494	0.13893	0.0	0.46842	0.04583	0.0	0.0	0.0	0.02852	0.46748	0.25949	0.11098	0.17308	0.13621	0.0	0.00288	0.0	0.02507	0.01393	0.08489	0.0	0.0	0.00027	0.0	0.03078	0.0	0.0	0.0	0.0	0.0	0.12019	0.08862	0.0	0.04526	0.07156	0.0	1.01145	0.00231	0.07691	0.03033	0.03738	0.81584	0.0	0.10304	0.09999	0.56061	0.67933	0.14464	0.0	0.05542	1.18948	0.12855	0.10332	0.0	0.0	0.08528	0.0031	0.0	0.39168	0.0581	0.0	0.0204	0.05297	0.03112	0.02657	0.0	0.0	0.0	0.00681	0.0	0.27977
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9453|s__GGB9453_SGB14844|t__SGB14844	0.26302	0.0	0.0	0.0	0.00792	0.0	0.0004	0.05683	0.0	0.0	0.0	0.01879	0.00308	0.00218	0.0	0.0	0.05518	0.0	0.0	0.0	0.03546	0.0	0.0	0.13457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15218	0.0	0.77478	0.0	0.0	0.0	0.16488	0.06979	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07128	0.0	0.0	0.08884	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00654	0.0	0.0	0.0	0.0	0.00307	0.0	0.0	0.0	0.0	0.0	0.0	0.01232	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_ER4|t__SGB15254	0.24597	0.0	0.0	0.0	0.03104	0.0	0.0	0.64173	0.0	0.0	0.02484	2.08038	0.42051	0.0	0.0	0.0	0.41705	0.00167	0.0	0.0	0.50834	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.01826	0.0	0.07557	0.0	0.0	0.0	0.0	0.30613	0.05764	0.0	1.77992	0.0	0.0	0.04267	0.0	0.56614	0.0	0.0	0.0	0.0	0.01189	0.6193	0.55578	0.0	0.16503	0.0	0.0	0.0	0.0	0.06566	0.0	0.0	0.10273	0.00495	0.0	0.0	0.0	0.0	0.0	1.5989	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Dorea|s__Dorea_sp_AF36_15AT|t__SGB4552	0.23413	0.0	0.0	0.0	0.15693	0.0	0.0	0.05956	0.0	0.0	0.0	0.0	0.12364	0.0	0.0	0.0	0.0	0.00027	0.07185	0.0	0.0	0.0	0.0	0.55651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05658	0.0	0.13374	0.0	0.0	0.0	0.0	0.15866	0.0	0.15931	0.13825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06969	0.04683	0.06136	0.0	0.0	0.29488	0.0	0.0	0.0	0.05771	0.0	0.0	0.10424	0.0	0.0	0.0	0.0	0.1689	0.0	0.09221	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens|t__SGB14798	0.21831	0.02374	0.0	0.0	0.17013	0.0	0.15898	0.06696	0.0	0.0	0.70054	0.11902	0.04347	0.0	0.0	0.05134	0.31533	0.0	0.00825	0.0	0.36286	0.0	0.03451	0.0	0.0	0.0	0.0594	0.0	0.20835	0.0	0.0	0.0	0.0	0.0	0.0	0.32147	0.0	0.02871	0.0	0.0	0.23728	0.70153	0.29255	0.0	0.0	0.0	0.1103	0.0	0.54988	0.10087	0.0	0.0	0.0	0.0	0.49586	0.22071	0.0	1.93075	0.04516	0.0	1.48143	0.0	0.10633	0.0	0.08442	0.11575	0.44954	0.0	0.0	0.0	0.01265	0.0	0.30709	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis|t__SGB2318	0.21627	0.0	0.0	0.0	0.0	0.0	0.0249	2.9501	0.0	0.0	0.0	3.8017	1.93977	0.0	0.0	0.0	1.39378	0.0	0.37684	0.0	0.0	0.0	0.0	1.68657	0.0	0.63895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46896	0.33253	0.1036	0.0	0.11606	1.73725	0.0	0.57524	1.12233	0.0	0.99519	0.0	0.0	0.0	0.0	0.51047	0.06791	0.02381	0.0	0.31869	0.08529	1.02076	0.49681	0.34527	0.51473	0.0	0.0	0.0	0.0	0.202	0.0	0.0	0.03459	0.0	0.00466	0.0	0.0	1.48511	0.0	0.00879	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum|t__SGB4811	0.17087	0.20012	0.08238	0.0	0.0	0.32627	2.06724	2.70179	0.0	0.0	2.51097	0.76021	0.67596	0.0	0.0	0.0	0.66011	1.63186	1.05726	0.0	0.0	0.07972	0.0	1.89917	0.0	0.0	0.11181	0.05744	0.28616	0.0	0.06542	0.02553	0.0	0.7161	0.0	0.26488	0.0	0.18225	0.0	0.0	0.20179	2.11944	0.68876	1.27923	0.07923	0.62947	0.13191	0.0	0.10975	0.42387	0.04416	0.19671	0.36102	0.94795	0.55197	0.27051	0.14112	0.98654	0.53821	0.0	0.0	0.0	0.75337	0.0	0.27294	0.91801	0.07865	0.0261	0.0	0.0	0.32051	0.0	1.83455	0.00046
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis|t__SGB1836	0.17002	0.057	0.19763	0.0	0.01459	0.05329	0.09908	0.25759	0.0	0.0	0.01147	0.61351	0.3955	0.21545	0.0	0.01841	6.35986	0.0	0.08664	0.06582	0.00454	0.0	0.00338	0.42375	0.0	0.10057	0.00432	0.0461	0.0	0.0	0.0	0.87361	0.0	0.15845	0.17137	0.14369	0.7931	0.66144	0.55793	0.0	1.02622	1.24272	0.53737	0.38909	0.02717	0.0	0.74617	0.23602	0.14233	0.051	0.28081	0.0	0.17597	0.04884	0.15752	0.47005	0.18357	0.60185	0.03065	0.81236	0.0	0.0	0.00203	0.0	1.02877	0.96161	0.45484	0.01224	0.19353	0.0	0.54121	0.0	0.08967	0.12619
k__Bacteria|p__Firmicutes|c__CFGB1249|o__OFGB1249|f__FGB1249|g__GGB3032|s__GGB3032_SGB4027|t__SGB4027	0.16964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00894	0.0	0.0	0.0	0.0316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00399	0.00654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00221	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalibacillus|s__Faecalibacillus_intestinalis|t__SGB6754	0.14907	2.96656	5.36268	0.0	1.29471	0.0	1.88145	0.23727	0.0	0.0	0.0	0.10433	0.56901	0.0	0.0	0.0	0.71431	2.73991	0.84948	1.71529	0.12237	0.0	0.00017	0.0	0.0	0.0	0.0	0.92204	0.40871	0.0	0.0	2.72198	0.0	1.63088	0.0	1.63611	2.93158	4.00893	0.0	0.11118	1.2682	0.55871	0.88691	0.87187	0.0	2.08747	2.1747	0.0	0.0	1.49413	0.0	0.9217	0.0	0.63731	1.17643	1.71954	0.08649	3.71513	0.31853	0.0	0.78864	0.0	0.72766	0.0	0.23219	0.15553	1.26959	0.0	1.07627	0.0	0.0	0.0	0.04784	2.05813
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lacticaseibacillus|s__Lacticaseibacillus_suilingensis|t__SGB51743	0.14798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03038	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Mesosutterella|s__Mesosutterella_multiformis|t__SGB9272	0.1478	0.0	0.0	0.0371	0.01515	0.0	0.02108	0.63469	0.0	0.0	0.0	0.01318	0.02442	0.22287	0.0	0.0	0.06404	0.0	0.00364	0.0	0.03409	0.0	0.0	0.47218	0.0	0.0	0.0	0.16495	0.01858	0.0	0.0	0.0	0.54078	0.05098	0.0	0.0	0.0	0.0	2.1621	0.01094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02646	0.00584	0.0	0.0	0.0	0.0	0.05791	0.95813	0.0	0.11406	0.0	0.00952	0.0	0.0	0.0	0.0	0.51952	0.04421	0.15139	0.0	0.0	0.0	0.0	0.0	0.0	0.00402
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_SGB4121|t__SGB4121	0.14732	0.04724	0.03229	0.17313	0.00367	0.08382	0.0	0.0	0.08005	0.01778	0.04195	0.03228	0.03861	0.0397	0.06094	0.0	0.0	0.0	0.09396	0.00615	0.0	0.06961	0.09151	0.0	0.0	0.0957	0.04287	0.07333	0.0	0.0	0.0	0.06805	0.0	0.0	0.0	0.0	0.03707	0.01162	0.0	0.0	0.04866	0.0867	0.11469	0.11882	0.04263	0.0	0.03248	0.1719	0.15141	0.0197	0.10924	0.08367	0.07216	0.0	0.09034	0.03267	0.0476	0.0	0.00084	0.0	0.06334	0.03517	0.0	0.0	0.10141	0.01903	0.05306	0.06773	0.03918	0.0	0.02978	0.0	0.01991	0.15942
