,Test AUC,CV AUC Mean,CV AUC Std
raw,0.717948717948718,0.7104250428549166,0.04762768146131366
log,0.7002652519893898,0.697824139005766,0.05951918955416767
relative,0.6604774535809019,0.691868474364968,0.035135481860551696
clr,0.7046861184792219,0.6559202119370424,0.04503775987190048
