,precision,recall,f1-score,support
0,0.7368421052631579,0.717948717948718,0.7272727272727273,39.0
1,0.6333333333333333,0.6551724137931034,0.6440677966101694,29.0
accuracy,0.6911764705882353,0.6911764705882353,0.6911764705882353,0.6911764705882353
macro avg,0.6850877192982456,0.6865605658709106,0.6856702619414483,68.0
weighted avg,0.6926986584107327,0.6911764705882353,0.6917882715489894,68.0
