feature,importance
k__Bacteria|p__Firmicutes|c__CFGB9583|o__OFGB9583|f__FGB9583|g__GGB3490|s__GGB3490_SGB4664|t__SGB4664,0.0023239472289301394
k__Bacteria|p__Firmicutes|c__CFGB9583|o__OFGB9583|f__FGB9583|g__GGB3490|s__GGB3490_SGB4664,0.0020983978255284755
k__Bacteria|p__Firmicutes|c__CFGB9583,0.0020241697995014136
k__Bacteria|p__Firmicutes|c__CFGB9583|o__OFGB9583|f__FGB9583,0.0019465654772046748
k__Bacteria|p__Firmicutes|c__CFGB9583|o__OFGB9583,0.0016642981737848893
k__Bacteria|p__Firmicutes|c__CFGB9583|o__OFGB9583|f__FGB9583|g__GGB3490,0.001331071564862416
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982|f__FGB2982|g__GGB9342,0.0009202838128468601
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982|f__FGB2982,0.0007230269582678341
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982|f__FGB2982|g__GGB9342|s__GGB9342_SGB14306|t__SGB14306,0.0006649509056277779
k__Bacteria|p__Firmicutes|c__CFGB2982,0.00027554812669297547
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982|f__FGB2982|g__GGB9342|s__GGB9342_SGB14306,0.00018635924962068928
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982,4.8703152712495154e-05
