,precision,recall,f1-score,support
0,0.7560975609756098,0.7948717948717948,0.775,39.0
1,0.7037037037037037,0.6551724137931034,0.6785714285714286,29.0
accuracy,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7352941176470589
macro avg,0.7299006323396567,0.7250221043324492,0.7267857142857144,68.0
weighted avg,0.733753121844944,0.7352941176470589,0.7338760504201681,68.0
