feature,importance
k__Bacteria|p__Firmicutes|c__CFGB9583|o__OFGB9583|f__FGB9583|g__GGB3490,0.0026413373366962712
k__Bacteria|p__Firmicutes|c__CFGB9583|o__OFGB9583|f__FGB9583,0.0021258330172203143
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982|f__FGB2982,0.0018119984837476778
k__Bacteria|p__Firmicutes|c__CFGB9583|o__OFGB9583|f__FGB9583|g__GGB3490|s__GGB3490_SGB4664|t__SGB4664,0.001561484678686802
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella_sp_KGMB02461,0.0012005264421231666
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982|f__FGB2982|g__GGB9342|s__GGB9342_SGB14306|t__SGB14306,0.001187844569982885
k__Bacteria|p__Firmicutes|c__CFGB2982,0.0006637414991128642
k__Bacteria|p__Firmicutes|c__CFGB9583,0.0006325934351036324
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982|f__FGB2982|g__GGB9342|s__GGB9342_SGB14306,0.0004706100443292665
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982,0.0004418223964227493
k__Bacteria|p__Firmicutes|c__CFGB9583|o__OFGB9583,4.547922144176435e-06
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982|f__FGB2982|g__GGB9342,0.0
