,Test AUC,CV AUC Mean,CV AUC Std
raw,0.7833775419982316,0.6907873616954963,0.047551857335852515
log,0.812555260831123,0.69138927847904,0.057171143338024824
relative,0.7276746242263484,0.691127863487611,0.06218404465737747
clr,0.7038019451812555,0.6479604955586723,0.08295616229128318
