,precision,recall,f1-score,support
0,0.7272727272727273,0.8205128205128205,0.7710843373493976,39.0
1,0.7083333333333334,0.5862068965517241,0.6415094339622641,29.0
accuracy,0.7205882352941176,0.7205882352941176,0.7205882352941176,0.7205882352941176
macro avg,0.7178030303030303,0.7033598585322722,0.7062968856558309,68.0
weighted avg,0.719195632798574,0.7205882352941176,0.7158244520813554,68.0
